polymer,mw,ΔH0 (J/g),ΔH0 (kJ/mol)
Polyamide 6,24.1,24.1,24.1
"Polyamide 6,6",57.9,57.9,57.9
"Polyamide 6,10",60.0,60.0,60
Polyamide 11,41.0,41.0,41
Polyamide 12,48.3,48.3,48.3
Polyacrylonitrile (PAN),5.19,5.19,5.19
Polybutadiene (PB),9.0,9.0,9.0
Polybutadiene (PB),8.0,8.0,8.0
Polybutylene terephthalate (PBT),32.0,32.0,32
Polycarbonate (PC),36.87,36.87,36.87
Polyether ether ketone (PEEK),42.1,42.1,42.1
Polyethylene,8.23,8.23,8.23
Polyethylene terephthalate (PET),27.0,27.0,27
Isotactic poly(methyl methacrylate) (PMMAi),9.61,9.61,9.61
Polyacetal (POM),9.9,9.9,9.9
Polyethylene oxide (PEO),8.14,8.14,8.14
Isotactic polypropylene (PPi),8.71,8.71,8.71
Syndiotactic polypropylene (PPs),8.28,8.28,8.28
Isotactic polystyrene (PSi),10.0,10.0,10
Polytetrafluoro ethylene (PTFE),8.2,8.2,8.2
Polyvinyl acetate (PVA),11.78,11.78,11.78
Polyvinyl alcohol (PVal),7.0,7.0,7
Polyvinyl chloride (PVC),11.0,11.0,11
Polyvinylidene fluoride (PVDF),6.72,6.72,6.72
Polyvinyl fluoride (PVF),7.5,7.5,7.5
